Implementation;K;N;M;T;max_iterations;Flops;Cylces;Iterations;Performance;Memory (aprox.)(bytes);Benchmark time(s)
Baseline;16;16;16;32;500;1235232;510778085.300000;0;1.209167;1296416;4.298289
jc-reordered;16;16;16;32;500;1235232;436352320.500000;0;1.415407;1296416;3.676193
scalar-reorder;16;16;16;32;500;1235232;409960326.800000;0;1.506526;1296416;3.448247
scalar-blocking;16;16;16;32;500;1235232;382721976.000000;0;1.613746;1296416;3.223783
other-unroll;16;16;16;32;500;1235232;515381245.000000;0;1.198367;1296416;4.340970
vector_optimized;16;16;16;32;500;1235232;279842186.200000;0;2.207015;1296416;2.357698
combined;16;16;16;32;500;1235232;183202120.650000;0;3.371227;1296416;1.544279
Baseline;16;16;32;32;500;1243680;614752284.050000;176;1.011529;1298464;5.178362
jc-reordered;16;16;32;32;500;1243680;568044489.550000;176;1.094703;1298464;4.788316
scalar-reorder;16;16;32;32;500;1243680;508021505.200000;176;1.224043;1298464;4.276345
scalar-blocking;16;16;32;32;500;1243680;480420539.000000;176;1.294366;1298464;4.053645
other-unroll;16;16;32;32;500;1243680;543112986.850000;176;1.144955;1298464;4.574415
vector_optimized;16;16;32;32;500;1243680;311163640.000000;176;1.998434;1298464;2.621555
combined;16;16;32;32;500;1243680;209637426.450000;176;2.966264;1298464;1.766875
Baseline;16;16;64;32;500;1260576;824838567.150000;492;0.764135;1302560;6.947131
jc-reordered;16;16;64;32;500;1260576;770115713.750000;492;0.818433;1302560;6.486971
scalar-reorder;16;16;64;32;500;1260576;709444578.350000;492;0.888425;1302560;5.975343
scalar-blocking;16;16;64;32;500;1260576;670117228.450000;492;0.940564;1302560;5.644248
other-unroll;16;16;64;32;500;1260576;595208783.500000;492;1.058936;1302560;5.013141
vector_optimized;16;16;64;32;500;1260576;364997019.100000;492;1.726831;1302560;3.074754
combined;16;16;64;32;500;1260576;261533584.450000;492;2.409970;1302560;2.203751
Baseline;16;16;128;32;500;1294368;1201837201.300000;479;0.538496;1310752;10.120756
jc-reordered;16;16;128;32;500;1294368;1146080694.650000;479;0.564693;1310752;9.652338
scalar-reorder;16;16;128;32;500;1294368;1101665518.500000;479;0.587460;1310752;9.278402
scalar-blocking;16;16;128;32;500;1294368;1044344672.850000;479;0.619703;1310752;8.794749
other-unroll;16;16;128;32;500;1294368;688427267.300000;479;0.940091;1310752;5.797822
vector_optimized;16;16;128;32;500;1294368;476281237.700000;479;1.358827;1310752;4.011443
combined;16;16;128;32;500;1294368;350219703.200000;479;1.847937;1310752;2.949969
Baseline;32;16;16;32;500;2469936;1045321018.150000;0;1.181425;2584608;8.805116
jc-reordered;32;16;16;32;500;2469936;922694954.100000;0;1.338436;2584608;7.772882
scalar-reorder;32;16;16;32;500;2469936;809334896.100000;0;1.525905;2584608;6.818218
scalar-blocking;32;16;16;32;500;2469936;780948666.800000;0;1.581369;2584608;6.578623
